address
Księdza Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
przy Narbutta/Asfaltowa/idealnie ciche/wysokie/balkon/kamienica z 1938r., Stary Mokotów, Mokotów, Warszawa, mazowieckie
przy Sandomierskiej/klimatyczne/kamienica/zieleń/cisza, Stary Mokotów, Mokotów, Warszawa, mazowieckie
Narbutta/idealnie ciche/balkon/kominek/garaż/piękna kamienica z 1938 r., Stary Mokotów, Mokotów, Warszawa, mazowieckie
przy Śniadeckich/ciche/rozkładowe/wysokie/winda/kamienica, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
Choszczówka, Białołęka, Warszawa, mazowieckie
przy pl. Narutowicza / idealnie ciche/ przedwojenna kamienica, Stara Ochota, Ochota, Warszawa, mazowieckie
Stara Ochota/klimatyczne/słoneczne/ciche/balkon/kamienica z 1933 r., Stara Ochota, Ochota, Warszawa, mazowieckie
Lazurowa/Człuchowska, Chrzanów, Bemowo, Warszawa, mazowieckie
Radiowo, Bielany, Warszawa, mazowieckie
ul. Kobiałka, Stanisławów Pierwszy, Nieporęt, legionowski, mazowieckie
Stary Żoliborz, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie
przy Mokotowskiej/cisza/ kamienica z 1930 r. po rewitalizacji, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
